sortNumber;code;officialTitle;mediumTitle;shortTitle;note
1585;SK0326511391;Filakovo;Filakovo;Filakovo;511391
1586;SK0326511404;Filakovske Kovace;Filakovske Kovace;Filakovske Kovace;511404
1587;SK0326511421;Halic;Halic;Halic;511421
1588;SK0326511439;Holisa;Holisa;Holisa;511439
1589;SK0326511463;Jelsovec;Jelsovec;Jelsovec;511463
1590;SK0326511480;Kalonda;Kalonda;Kalonda;511480
1591;SK0326511528;Lehotka;Lehotka;Lehotka;511528
1592;SK0326511536;Lentvora;Lentvora;Lentvora;511536
1593;SK0326511544;Lipovany;Lipovany;Lipovany;511544
1594;SK0326511552;Lovinobana;Lovinobana;Lovinobana;511552
1595;SK0326511561;Luborec;Luborec;Luborec;511561
1596;SK0326511579;Lupoc;Lupoc;Lupoc;511579
1597;SK0326511609;Maskova;Maskova;Maskova;511609
1598;SK0326511625;Mucin;Mucin;Mucin;511625
1599;SK0326511641;Mytna;Mytna;Mytna;511641
1600;SK0326511668;Nitra nad Iplom;Nitra nad Iplom;Nitra nad Iplom;511668
1601;SK0326511676;Nove Hony;Nove Hony;Nove Hony;511676
1602;SK0326511692;Panicke Dravce;Panicke Dravce;Panicke Dravce;511692
1603;SK0326511706;Pila;Pila;Pila;511706
1604;SK0326511714;Pincina;Pincina;Pincina;511714
1605;SK0326511722;Ples;Ples;Ples;511722
1606;SK0326511749;Podrecany;Podrecany;Podrecany;511749
1607;SK0326511757;Polichno;Polichno;Polichno;511757
1608;SK0326511773;Praha;Praha;Praha;511773
1609;SK0326511781;Prsa;Prsa;Prsa;511781
1610;SK0326511790;Radzovce;Radzovce;Radzovce;511790
1611;SK0326511803;Rapovce;Rapovce;Rapovce;511803
1612;SK0326511811;Ratka;Ratka;Ratka;511811
1613;SK0326511838;Ruzina;Ruzina;Ruzina;511838
1614;SK0326511846;Stara Halic;Stara Halic;Stara Halic;511846
1615;SK0326511854;Savol;Savol;Savol;511854
1616;SK0326511862;Siatorska Bukovinka;Siatorska Bukovinka;Siatorska Bukovinka;511862
1617;SK0326511871;Sid;Sid;Sid;511871
1618;SK0326511897;Surice;Surice;Surice;511897
1619;SK0326511901;Tocnica;Tocnica;Tocnica;511901
1620;SK0326511919;Tomasovce;Tomasovce;Tomasovce;511919
1621;SK0326511927;Trebelovce;Trebelovce;Trebelovce;511927
1622;SK0326511943;Tuhar;Tuhar;Tuhar;511943
